Airport Code	Description of Airport	City Name	State	USDA Compliance Agreement in Place and Eligible for Precleared Arrivals
KCMH	Port Columbus International Airport	Columbus	Ohio	Yes
KLCK	Rickenbacker International Airport	Columbus	Ohio	Yes
KDAY	Dayton International Airport	Dayton	Ohio	Yes
KPCW	Erie-Ottowa Regional Airport	Port Clinton	Ohio	No
KTOL	Toledo Express Airport	Toledo	Ohio	Yes
KOKC	Will Rogers World Airport	Oklahoma City	Oklahoma	Yes
KTUL	Tulsa International Airport	Tulsa	Oklahoma	Yes
KHIO	Hillsboro Airport	Hillsboro	Oregon	Yes
KPDX	Portland International Airport	Portland	Oregon	Yes
KABE	Lehigh Valley International Airport	Allentown	Pennsylvania	Yes
KERI	Erie International Airport Tom Ridge Field	Erie	Pennsylvania	Yes
KMDT	Harrisburg International Airport	Middletown	Pennsylvania	Yes
KPHL	Philadelphia International Airport	Philadelphia	Pennsylvania	Yes
KPIT	Pittsburgh International Airport	Pittsburgh	Pennsylvania	Yes
KAVP	Wilkes-Barre/Scranton International Airport	Wilkes-Barre	Pennsylvania	Yes
TJBQ	Rafael Hernandez Airport	Aguadilla	Puerto Rico	Yes
TJRV	Jose Aponte de la Torre Airport	Ceiba	Puerto Rico	Yes
TJCP	Benjamin Rivera Noriega Airport	Culebra	Puerto Rico	No
TJPS	Mercedita International Airport	Ponce	Puerto Rico	Yes
TJIG	Fernando Luis Ribas Dominicci Airport (Isla Grande)	San Juan	Puerto Rico	Yes
TJSJ	San Juan Luis Munoz Marin International Airport	San Juan	Puerto Rico	Yes
TJVQ	Antonio Rivera Rodriguez Airport	Vieques	Puerto Rico	No
KSFZ	North Central State Airport	Lincoln	Rhode Island	Yes
KUUU	Newport State Airport	Newport	Rhode Island	Yes
KOQU	Quonset State Airport	North Kingstown	Rhode Island	Yes
KPVD	TF Green Airport	Providence	Rhode Island	Yes
KCHS	Charleston International Airport	Charleston	South Carolina	No
KCAE	Columbia Metropolitan Airport	Columbia	South Carolina	Yes
KGSP	Greenville-Spartanburg International Airport	Greenville	South Carolina	Yes
